,County,Hydrologic Region
0,Monterey,Central Coast
1,San Benito,Central Coast
2,San Luis Obispo,Central Coast
3,Santa Barbara,Central Coast
4,Santa Clara,Central Coast
5,Santa Clara,San Francisco Bay
6,Santa Clara,South Coast
7,Santa Cruz,Central Coast
8,Sunnyslope,Central Coast
9,Imperial,Colorado River
10,Riverside,Colorado River
11,Riverside,South Coast
12,San Bernardino,Colorado River
13,San Bernardino,South Coast
14,San Bernardino,South Lahontan
15,Del Norte,North Coast
16,Humboldt,North Coast
17,Mendocino,North Coast
18,Siskiyou,North Coast
19,Sonoma,North Coast
20,Sonoma,San Francisco Bay
21,El Dorado,North Lahontan
22,El Dorado,Sacramento River
23,Lassen,North Lahontan
24,Nevada,North Lahontan
25,Nevada,Sacramento River
26,Placer,North Lahontan
27,Placer,Sacramento River
28,Placer,South Coast
29,Butte,Sacramento River
30,Glenn,Sacramento River
31,Linda,Sacramento River
32,Orange,Sacramento River
33,Orange,South Coast
34,Sacramento,Sacramento River
35,San Diego,Sacramento River
36,San Diego,South Coast
37,Shasta,Sacramento River
38,Solano,Sacramento River
39,Solano,San Francisco Bay
40,Sutter,Sacramento River
41,Tehama,Sacramento River
42,Yolo,Sacramento River
43,Yuba,Sacramento River
44,Alameda,San Francisco Bay
45,Coastside,San Francisco Bay
46,Contra Costa,San Francisco Bay
47,Contra Costa,San Joaquin River
48,Marin,San Francisco Bay
49,Napa,San Francisco Bay
50,North Coast,San Francisco Bay
51,San Francisco,San Francisco Bay
52,San Mateo,San Francisco Bay
53,Amador,San Joaquin River
54,Calaveras,San Joaquin River
55,Madera,San Joaquin River
56,Merced,San Joaquin River
57,San Joaquin,San Joaquin River
58,Stanislaus,San Joaquin River
59,Tuolumne,San Joaquin River
60,East Orange,South Coast
61,Laguna Beach,South Coast
62,Los Angeles,South Coast
63,Los Angeles,South Lahontan
64,Newhall,South Coast
65,San Gabriel,South Coast
66,Valley,South Coast
67,Ventura,South Coast
68,Kern,South Lahontan
69,Kern,Tulare Lake
70,Mono,South Lahontan
71,Fresno,Tulare Lake
72,Kings,Tulare Lake
73,Pinedale,Tulare Lake
74,Tulare,Tulare Lake
0,Alpine,North Lahontan
1,Colusa,Sacramento River
2,Inyo,South Lahontan
3,Lake,Sacramento River
4,Mariposa,Tulare Lake
5,Modoc,Sacramento River
6,Plumas,Sacramento River
7,Sierra,Sacramento River
8,Trinity,North Coast
